/* Data file autogenerated */

data;

set SNnodes := 0 2 4 6 8 10 12 14 16 18 20 22 24 26 28 30 32 34 36 38 40 42 44 46 48 50 52 54 56 58 60 62 64 66 68 70 72 74 76 78 80 82 84 86 88 90 92 94 96 98 100 102 104 106 108 110 112 114 116 118 120 122 124 126 128 130 132 134 136 138 140 142 144 146 148 150 152 154 156 158 160 162 164 166 168 170 172 174 176 178 180 182 184 186 188 190 192 194 196 198 200;

set SNlinks := (2,0) (4,0) (4,2) (6,0) (6,2) (8,0) (8,4) (10,8) (10,2) (12,6) (12,0) (14,4) (14,12) (16,2) (16,8) (18,8) (20,2) (20,0) (22,0) (22,2) (24,0) (26,0) (28,8) (28,2) (30,4) (30,0) (32,12) (32,0) (34,8) (36,8) (36,4) (38,2) (38,8) (40,26) (40,12) (42,0) (42,16) (44,2) (44,4) (46,4) (46,26) (48,40) (48,0) (50,2) (52,50) (52,0) (54,26) (54,2) (56,0) (56,8) (58,0) (58,54) (60,0) (60,8) (62,8) (62,2) (64,12) (64,38) (66,60) (66,10) (68,56) (68,26) (70,2) (70,56) (72,10) (72,62) (74,8) (76,12) (76,68) (78,8) (78,56) (80,30) (80,26) (82,0) (82,2) (84,2) (84,6) (86,66) (86,28) (88,8) (88,10) (90,4) (90,0) (92,8) (92,4) (94,2) (94,76) (96,4) (96,2) (98,0) (98,32) (100,2) (100,0) (102,68) (102,54) (104,68) (104,28) (106,38) (106,2) (108,0) (108,8) (110,2) (110,0) (112,108) (112,8) (114,0) (114,8) (116,26) (116,40) (118,2) (118,94) (120,2) (120,36) (122,0) (122,110) (124,96) (124,0) (126,52) (126,36) (128,50) (128,18) (130,4) (130,2) (132,82) (132,8) (134,2) (134,46) (136,62) (136,110) (138,8) (138,26) (140,80) (140,86) (142,134) (142,74) (144,8) (144,0) (146,4) (146,90) (148,36) (148,38) (150,0) (152,12) (152,14) (154,78) (154,52) (156,12) (156,8) (158,30) (158,150) (160,2) (160,32) (162,148) (162,2) (164,2) (164,90) (166,148) (166,0) (168,8) (168,0) (170,28) (170,148) (172,68) (172,50) (174,2) (174,26) (176,0) (176,56) (178,148) (178,108) (180,80) (180,8) (182,8) (182,36) (184,10) (184,0) (186,0) (186,2) (188,6) (188,0) (190,118) (190,126) (192,26) (192,2) (194,56) (194,40) (196,8) (196,52) (198,0) (198,78) (200,4) (200,64) (0,2) (0,4) (2,4) (0,6) (2,6) (0,8) (4,8) (8,10) (2,10) (6,12) (0,12) (4,14) (12,14) (2,16) (8,16) (8,18) (2,20) (0,20) (0,22) (2,22) (0,24) (0,26) (8,28) (2,28) (4,30) (0,30) (12,32) (0,32) (8,34) (8,36) (4,36) (2,38) (8,38) (26,40) (12,40) (0,42) (16,42) (2,44) (4,44) (4,46) (26,46) (40,48) (0,48) (2,50) (50,52) (0,52) (26,54) (2,54) (0,56) (8,56) (0,58) (54,58) (0,60) (8,60) (8,62) (2,62) (12,64) (38,64) (60,66) (10,66) (56,68) (26,68) (2,70) (56,70) (10,72) (62,72) (8,74) (12,76) (68,76) (8,78) (56,78) (30,80) (26,80) (0,82) (2,82) (2,84) (6,84) (66,86) (28,86) (8,88) (10,88) (4,90) (0,90) (8,92) (4,92) (2,94) (76,94) (4,96) (2,96) (0,98) (32,98) (2,100) (0,100) (68,102) (54,102) (68,104) (28,104) (38,106) (2,106) (0,108) (8,108) (2,110) (0,110) (108,112) (8,112) (0,114) (8,114) (26,116) (40,116) (2,118) (94,118) (2,120) (36,120) (0,122) (110,122) (96,124) (0,124) (52,126) (36,126) (50,128) (18,128) (4,130) (2,130) (82,132) (8,132) (2,134) (46,134) (62,136) (110,136) (8,138) (26,138) (80,140) (86,140) (134,142) (74,142) (8,144) (0,144) (4,146) (90,146) (36,148) (38,148) (0,150) (12,152) (14,152) (78,154) (52,154) (12,156) (8,156) (30,158) (150,158) (2,160) (32,160) (148,162) (2,162) (2,164) (90,164) (148,166) (0,166) (8,168) (0,168) (28,170) (148,170) (68,172) (50,172) (2,174) (26,174) (0,176) (56,176) (148,178) (108,178) (80,180) (8,180) (8,182) (36,182) (10,184) (0,184) (0,186) (2,186) (6,188) (0,188) (118,190) (126,190) (26,192) (2,192) (56,194) (40,194) (8,196) (52,196) (0,198) (78,198) (4,200) (64,200);

set VNnodes := 0 2 4 10 12 26 148 56 76 40 36;

set VNlinks := (2,0) (4,0) (10,4) (10,0) (12,2) (12,0) (26,10) (26,2) (148,0) (148,26) (56,2) (56,4) (76,10) (40,0) (40,12) (36,4) (36,40) (0,2) (0,4) (4,10) (0,10) (2,12) (0,12) (10,26) (2,26) (0,148) (26,148) (2,56) (4,56) (10,76) (0,40) (12,40) (4,36) (40,36);

param: 		LinkCapacity :=
2 0 		35.0
4 0 		83.0
4 2 		35.0
6 0 		51.0
6 2 		93.0
8 0 		17.0
8 4 		35.0
10 8 		88.0
10 2 		96.0
12 6 		54.0
12 0 		33.0
14 4 		58.0
14 12 		45.0
16 2 		80.0
16 8 		28.0
18 8 		38.0
20 2 		28.0
20 0 		89.0
22 0 		84.0
22 2 		17.0
24 0 		63.0
26 0 		57.0
28 8 		72.0
28 2 		65.0
30 4 		84.0
30 0 		52.0
32 12 		100.0
32 0 		100.0
34 8 		38.0
36 8 		63.0
36 4 		52.0
38 2 		96.0
38 8 		25.0
40 26 		41.0
40 12 		92.0
42 0 		78.0
42 16 		79.0
44 2 		70.0
44 4 		5.0
46 4 		92.0
46 26 		63.0
48 40 		72.0
48 0 		52.0
50 2 		71.0
52 50 		53.0
52 0 		56.0
54 26 		43.0
54 2 		25.0
56 0 		59.0
56 8 		20.0
58 0 		81.0
58 54 		8.0
60 0 		46.0
60 8 		53.0
62 8 		69.0
62 2 		60.0
64 12 		17.0
64 38 		12.0
66 60 		87.0
66 10 		99.0
68 56 		49.0
68 26 		14.0
70 2 		71.0
70 56 		91.0
72 10 		63.0
72 62 		60.0
74 8 		15.0
76 12 		60.0
76 68 		94.0
78 8 		91.0
78 56 		30.0
80 30 		49.0
80 26 		98.0
82 0 		77.0
82 2 		78.0
84 2 		34.0
84 6 		29.0
86 66 		74.0
86 28 		56.0
88 8 		81.0
88 10 		45.0
90 4 		1.0
90 0 		6.0
92 8 		20.0
92 4 		84.0
94 2 		56.0
94 76 		50.0
96 4 		75.0
96 2 		55.0
98 0 		49.0
98 32 		35.0
100 2 		73.0
100 0 		72.0
102 68 		11.0
102 54 		68.0
104 68 		57.0
104 28 		25.0
106 38 		45.0
106 2 		99.0
108 0 		62.0
108 8 		37.0
110 2 		91.0
110 0 		98.0
112 108 		11.0
112 8 		44.0
114 0 		5.0
114 8 		89.0
116 26 		94.0
116 40 		20.0
118 2 		4.0
118 94 		17.0
120 2 		88.0
120 36 		81.0
122 0 		85.0
122 110 		8.0
124 96 		31.0
124 0 		35.0
126 52 		8.0
126 36 		65.0
128 50 		96.0
128 18 		68.0
130 4 		9.0
130 2 		28.0
132 82 		66.0
132 8 		51.0
134 2 		39.0
134 46 		59.0
136 62 		9.0
136 110 		51.0
138 8 		35.0
138 26 		26.0
140 80 		33.0
140 86 		36.0
142 134 		64.0
142 74 		34.0
144 8 		9.0
144 0 		6.0
146 4 		43.0
146 90 		57.0
148 36 		72.0
148 38 		3.0
150 0 		15.0
152 12 		85.0
152 14 		70.0
154 78 		47.0
154 52 		25.0
156 12 		90.0
156 8 		62.0
158 30 		66.0
158 150 		61.0
160 2 		47.0
160 32 		46.0
162 148 		71.0
162 2 		33.0
164 2 		20.0
164 90 		2.0
166 148 		96.0
166 0 		3.0
168 8 		34.0
168 0 		5.0
170 28 		21.0
170 148 		10.0
172 68 		25.0
172 50 		13.0
174 2 		32.0
174 26 		21.0
176 0 		29.0
176 56 		49.0
178 148 		52.0
178 108 		100.0
180 80 		35.0
180 8 		61.0
182 8 		95.0
182 36 		95.0
184 10 		87.0
184 0 		84.0
186 0 		45.0
186 2 		34.0
188 6 		32.0
188 0 		52.0
190 118 		99.0
190 126 		80.0
192 26 		8.0
192 2 		46.0
194 56 		91.0
194 40 		5.0
196 8 		96.0
196 52 		44.0
198 0 		68.0
198 78 		12.0
200 4 		80.0
200 64 		98.0
0 2 		35.0
0 4 		83.0
2 4 		35.0
0 6 		51.0
2 6 		93.0
0 8 		17.0
4 8 		35.0
8 10 		88.0
2 10 		96.0
6 12 		54.0
0 12 		33.0
4 14 		58.0
12 14 		45.0
2 16 		80.0
8 16 		28.0
8 18 		38.0
2 20 		28.0
0 20 		89.0
0 22 		84.0
2 22 		17.0
0 24 		63.0
0 26 		57.0
8 28 		72.0
2 28 		65.0
4 30 		84.0
0 30 		52.0
12 32 		100.0
0 32 		100.0
8 34 		38.0
8 36 		63.0
4 36 		52.0
2 38 		96.0
8 38 		25.0
26 40 		41.0
12 40 		92.0
0 42 		78.0
16 42 		79.0
2 44 		70.0
4 44 		5.0
4 46 		92.0
26 46 		63.0
40 48 		72.0
0 48 		52.0
2 50 		71.0
50 52 		53.0
0 52 		56.0
26 54 		43.0
2 54 		25.0
0 56 		59.0
8 56 		20.0
0 58 		81.0
54 58 		8.0
0 60 		46.0
8 60 		53.0
8 62 		69.0
2 62 		60.0
12 64 		17.0
38 64 		12.0
60 66 		87.0
10 66 		99.0
56 68 		49.0
26 68 		14.0
2 70 		71.0
56 70 		91.0
10 72 		63.0
62 72 		60.0
8 74 		15.0
12 76 		60.0
68 76 		94.0
8 78 		91.0
56 78 		30.0
30 80 		49.0
26 80 		98.0
0 82 		77.0
2 82 		78.0
2 84 		34.0
6 84 		29.0
66 86 		74.0
28 86 		56.0
8 88 		81.0
10 88 		45.0
4 90 		1.0
0 90 		6.0
8 92 		20.0
4 92 		84.0
2 94 		56.0
76 94 		50.0
4 96 		75.0
2 96 		55.0
0 98 		49.0
32 98 		35.0
2 100 		73.0
0 100 		72.0
68 102 		11.0
54 102 		68.0
68 104 		57.0
28 104 		25.0
38 106 		45.0
2 106 		99.0
0 108 		62.0
8 108 		37.0
2 110 		91.0
0 110 		98.0
108 112 		11.0
8 112 		44.0
0 114 		5.0
8 114 		89.0
26 116 		94.0
40 116 		20.0
2 118 		4.0
94 118 		17.0
2 120 		88.0
36 120 		81.0
0 122 		85.0
110 122 		8.0
96 124 		31.0
0 124 		35.0
52 126 		8.0
36 126 		65.0
50 128 		96.0
18 128 		68.0
4 130 		9.0
2 130 		28.0
82 132 		66.0
8 132 		51.0
2 134 		39.0
46 134 		59.0
62 136 		9.0
110 136 		51.0
8 138 		35.0
26 138 		26.0
80 140 		33.0
86 140 		36.0
134 142 		64.0
74 142 		34.0
8 144 		9.0
0 144 		6.0
4 146 		43.0
90 146 		57.0
36 148 		72.0
38 148 		3.0
0 150 		15.0
12 152 		85.0
14 152 		70.0
78 154 		47.0
52 154 		25.0
12 156 		90.0
8 156 		62.0
30 158 		66.0
150 158 		61.0
2 160 		47.0
32 160 		46.0
148 162 		71.0
2 162 		33.0
2 164 		20.0
90 164 		2.0
148 166 		96.0
0 166 		3.0
8 168 		34.0
0 168 		5.0
28 170 		21.0
148 170 		10.0
68 172 		25.0
50 172 		13.0
2 174 		32.0
26 174 		21.0
0 176 		29.0
56 176 		49.0
148 178 		52.0
108 178 		100.0
80 180 		35.0
8 180 		61.0
8 182 		95.0
36 182 		95.0
10 184 		87.0
0 184 		84.0
0 186 		45.0
2 186 		34.0
6 188 		32.0
0 188 		52.0
118 190 		99.0
126 190 		80.0
26 192 		8.0
2 192 		46.0
56 194 		91.0
40 194 		5.0
8 196 		96.0
52 196 		44.0
0 198 		68.0
78 198 		12.0
4 200 		80.0
64 200 		98.0;

param: 		SNodeCapacity :=

0 		52.0
2 		52.0
4 		35.0
6 		52.0
8 		12.0
10 		40.0
12 		47.0
14 		90.0
16 		19.0
18 		74.0
20 		20.0
22 		59.0
24 		10.0
26 		6.0
28 		34.0
30 		13.0
32 		26.0
34 		92.0
36 		4.0
38 		49.0
40 		44.0
42 		54.0
44 		55.0
46 		38.0
48 		61.0
50 		20.0
52 		25.0
54 		42.0
56 		25.0
58 		72.0
60 		35.0
62 		9.0
64 		40.0
66 		37.0
68 		61.0
70 		53.0
72 		73.0
74 		5.0
76 		73.0
78 		39.0
80 		6.0
82 		26.0
84 		75.0
86 		76.0
88 		85.0
90 		61.0
92 		12.0
94 		31.0
96 		21.0
98 		47.0
100 		83.0
102 		20.0
104 		69.0
106 		73.0
108 		32.0
110 		35.0
112 		59.0
114 		35.0
116 		10.0
118 		88.0
120 		68.0
122 		77.0
124 		52.0
126 		56.0
128 		23.0
130 		34.0
132 		92.0
134 		66.0
136 		8.0
138 		45.0
140 		44.0
142 		92.0
144 		5.0
146 		8.0
148 		41.0
150 		62.0
152 		87.0
154 		37.0
156 		67.0
158 		57.0
160 		63.0
162 		92.0
164 		72.0
166 		29.0
168 		30.0
170 		38.0
172 		10.0
174 		12.0
176 		69.0
178 		56.0
180 		56.0
182 		31.0
184 		2.0
186 		93.0
188 		96.0
190 		29.0
192 		87.0
194 		14.0
196 		25.0
198 		66.0
200 		86.0;

param: 		VLinkDemand :=

2 0 		50.0
4 0 		32.0
10 4 		21.0
10 0 		42.0
12 2 		7.0
12 0 		29.0
26 10 		14.0
26 2 		27.0
148 0 		10.0
148 26 		45.0
56 2 		32.0
56 4 		12.0
76 10 		43.0
40 0 		13.0
40 12 		49.0
36 4 		44.0
36 40 		15.0
0 2 		50.0
0 4 		32.0
4 10 		21.0
0 10 		42.0
2 12 		7.0
0 12 		29.0
10 26 		14.0
2 26 		27.0
0 148 		10.0
26 148 		45.0
2 56 		32.0
4 56 		12.0
10 76 		43.0
0 40 		13.0
12 40 		49.0
4 36 		44.0
40 36 		15.0;

param: 		HHDemand :=

2 0 		0.0
4 0 		0.0
10 4 		0.0
10 0 		0.0
12 2 		0.0
12 0 		0.0
26 10 		0.0
26 2 		0.0
148 0 		0.0
148 26 		0.0
56 2 		0.0
56 4 		0.0
76 10 		0.0
40 0 		0.0
40 12 		0.0
36 4 		0.0
36 40 		0.0
0 2 		0.0
0 4 		0.0
4 10 		0.0
0 10 		0.0
2 12 		0.0
0 12 		0.0
10 26 		0.0
2 26 		0.0
0 148 		0.0
26 148 		0.0
2 56 		0.0
4 56 		0.0
10 76 		0.0
0 40 		0.0
12 40 		0.0
4 36 		0.0
40 36 		0.0;

param w1 := 1.0;
param w2 := 1.0;


end;
